"Date","Percentage of Tests Confirmed Positive","7-day Moving Average Percentage of Confirmed Positive Tests"
2021-06-22,8.82352941176471,2.57877072029562
2021-06-21,1.78571428571429,1.68456688491532
2021-06-20,0,1.88297958332802
2021-06-19,0,1.88297958332802
2021-06-18,4.8780487804878,2.35917005951849
2021-06-17,2.56410256410256,1.97976626548055
2021-06-16,0,1.88300767815593
2021-06-15,2.56410256410256,2.25894752777999
2021-06-14,3.17460317460317,2.17836144719391
2021-06-13,0,1.93806632416957
2021-06-12,3.33333333333333,1.93806632416957
2021-06-11,2.22222222222222,1.6382426910126
2021-06-10,1.88679245283019,1.32078237355229
2021-06-09,2.63157894736842,1.05124059457655
2021-06-08,2,1.01543679937425
2021-06-07,1.49253731343284,0.729722513659969
2021-06-06,0,0.516502897455278
2021-06-05,1.23456790123457,0.924666162761401
2021-06-04,0,1.24091015716631
2021-06-03,0,2.09805301430917
2021-06-02,2.38095238095238,2.48415340040956
2021-06-01,0,2.46869267066311
2021-05-31,0,4.03119267066311
2021-05-30,2.85714285714286,4.03119267066311
2021-05-29,3.44827586206897,4.61970714622078
2021-05-28,6,4.61970714622078
2021-05-27,2.7027027027027,3.76256428907792
2021-05-26,2.27272727272727,3.59967818869182
2021-05-25,10.9375,3.2750028640165
2021-05-24,0,2.7329110272818
2021-05-23,6.97674418604651,2.95612531299609
2021-05-22,3.44827586206897,2.79978370658608
2021-05-21,0,2.30717286914766
2021-05-20,1.5625,3.83778511404562
2021-05-19,0,4.16935584913577
2021-05-18,7.14285714285714,4.33355946161524
2021-05-17,1.5625,3.83579938197363
2021-05-16,5.88235294117647,4.11383822909143
2021-05-15,0,3.27350209463764
2021-05-14,10.7142857142857,3.58747383718082
2021-05-13,3.88349514563107,2.24483151709489
2021-05-12,1.14942528735632,1.87557525324778
2021-05-11,3.65853658536585,1.91545327342136
2021-05-10,3.50877192982456,2.02074867488401
2021-05-09,0,2.29871632127271
2021-05-08,2.1978021978022,3.17335188978583
2021-05-07,1.31578947368421,3.50873079659331
2021-05-06,1.2987012987013,3.51645558802394
2021-05-05,1.42857142857143,4.03814040956732
2021-05-04,4.3956043956044,4.04727839311895
2021-05-03,5.45454545454545,3.41933490803261
2021-05-02,6.12244897959184,3.16436052461786
2021-05-01,4.54545454545455,3.1555258219056
2021-04-30,1.36986301369863,3.76667937423563
2021-04-29,4.95049504950495,4.27126477003778
2021-04-28,1.49253731343284,4.01399494856745
2021-04-27,0,4.73754348224566
2021-04-26,3.6697247706422,5.19468633938852
2021-04-25,6.06060606060606,5.75818468614957
2021-04-24,8.82352941176471,6.28611204334522
2021-04-23,4.90196078431373,5.75200009348052
2021-04-22,3.1496062992126,5.83912155623886
2021-04-21,6.55737704918033,6.04944190485074
2021-04-20,3.2,5.39278579978576
2021-04-19,7.61421319796954,5.83474384174381
2021-04-18,9.75609756097561,5.86640208425136
2021-04-17,5.08474576271187,5.24907137678279
2021-04-16,5.51181102362205,5.84136044364813
2021-04-15,4.6218487394958,6.39003286678948
2021-04-14,1.96078431372549,6.97200478599194
2021-04-13,6.29370629370629,8.40617845545973
2021-04-12,7.83582089552239,8.46932774140694
2021-04-11,5.43478260869565,8.3630959822695
2021-04-10,9.23076923076923,8.2950809933059
2021-04-09,9.35251798561151,8.47639967462458
2021-04-08,8.69565217391304,8.73607035753114
2021-04-07,12,8.76367560252769
2021-04-06,6.73575129533679,8.0741035711835
2021-04-05,7.09219858156028,8.88791516219717
2021-04-04,4.95867768595041,8.77270311993346
2021-04-03,10.5,9.97890085846484
2021-04-02,11.1702127659574,9.88983560273292
2021-04-01,8.88888888888889,9.77388602717496
2021-03-31,7.17299578059072,10.2572915105805
2021-03-30,12.4324324324324,10.4624737595216
2021-03-29,6.28571428571429,9.9562532533011
2021-03-28,13.4020618556701,10.1935826221347
2021-03-27,9.87654320987654,11.1361452141819
2021-03-26,10.3585657370518,11.2243286356986
2021-03-25,12.2727272727273,10.6273585705339
2021-03-24,8.60927152317881,10.0708208673993
2021-03-23,8.88888888888889,9.7822316907769
2021-03-22,7.94701986754967,9.39422463610318
2021-03-21,20,9.78954832849404
2021-03-20,10.4938271604938,6.93240547135118
2021-03-19,6.17977528089888,6.39420979115252
2021-03-18,8.37696335078534,6.23554538301884
2021-03-17,6.58914728682171,6.23840012789029
2021-03-16,6.17283950617284,5.74352194405862
2021-03-15,10.7142857142857,5.55855184038933
2021-03-14,0,4.49825117691406
2021-03-13,6.72645739910314,5.27344497536367
2021-03-12,5.06912442396313,4.9133235578683
2021-03-11,8.3969465648855,4.26059149730214
2021-03-10,3.125,4.29912294041373
2021-03-09,4.8780487804878,4.29129086021323
2021-03-08,3.29218106995885,3.80047070475893
2021-03-07,5.42635658914729,4.30017676002054
2021-03-06,4.20560747663551,4.18287769841303
2021-03-05,0.5,4.05156019839736
2021-03-04,8.66666666666667,4.69441734125451
2021-03-03,3.07017543859649,4.01290837403125
2021-03-02,1.44230769230769,4.50598890143672
2021-03-01,6.79012345679012,4.91218984335195
2021-02-28,4.60526315789474,4.95804522254066
2021-02-27,3.28638497652582,5.35057065376578
2021-02-26,5,5.45764057704236
2021-02-25,3.8961038961039,5.23385149059233
2021-02-24,6.52173913043478,5.423105724597
2021-02-23,4.28571428571429,4.77044656310631
2021-02-22,7.11111111111111,5.30832273052243
2021-02-21,7.35294117647059,5.19947919310747
2021-02-20,4.03587443946188,5.11214088699851
2021-02-19,3.43347639484979,5.76935362941304
2021-02-18,5.22088353413655,6.36110808382844
2021-02-17,1.953125,6.58840887906857
2021-02-16,8.05084745762712,7.52284937824121
2021-02-15,6.34920634920635,7.71201402715162
2021-02-14,6.74157303370786,7.8887283910581
2021-02-13,8.63636363636364,8.67491766612608
2021-02-12,7.57575757575758,8.40315239436081
2021-02-11,6.81198910081744,8.95355437333421
2021-02-10,8.49420849420849,9.14863737228286
2021-02-09,9.375,8.53795177063884
2021-02-08,7.58620689655172,8.32648560522531
2021-02-07,12.2448979591837,7.76357509619411
2021-02-06,6.73400673400673,7.06846608203229
2021-02-05,11.4285714285714,7.05884607241228
2021-02-04,8.17757009345794,5.89203152050456
2021-02-03,4.21940928270042,5.31290884146859
2021-02-02,7.89473684210526,5.66528558845823
2021-02-01,3.64583333333333,5.60646506776875
2021-01-31,7.37913486005089,6.69949903867929
2021-01-30,6.66666666666667,7.05902739200536
2021-01-29,3.26086956521739,7.42307744888818
2021-01-28,4.12371134020619,8.3760256323307
2021-01-27,6.68604651162791,8.88582511120235
2021-01-26,7.48299319727891,9.04826550264132
2021-01-25,11.2970711297071,8.93164742683957
2021-01-24,9.89583333333333,8.5440216921849
2021-01-23,9.21501706484642,7.64053529762708
2021-01-22,9.93150684931507,7.58629591200071
2021-01-21,7.69230769230769,7.37816297226805
2021-01-20,7.82312925170068,7.33952973050981
2021-01-19,6.66666666666667,7.08030893612216
2021-01-18,8.58369098712446,7.44554240815175
2021-01-17,3.57142857142857,7.09393640707566
2021-01-16,8.83534136546185,7.89836860940444
2021-01-15,8.47457627118644,7.62139866064388
2021-01-14,7.421875,7.82583924723989
2021-01-13,6.00858369098712,7.90842853295418
2021-01-12,9.22330097087379,8.07863086281316
2021-01-11,6.12244897959184,8.6243704756697
2021-01-10,9.20245398773006,8.56394660219729
2021-01-09,6.89655172413793,8.89478526214011
2021-01-08,9.90566037735849,8.30274838411779
2021-01-07,8,7.63721312738756
2021-01-06,7.2,7.62676016571509
2021-01-05,13.0434782608696,7.58503084240682
2021-01-04,5.69948186528497,6.62512118684499
2021-01-03,11.5183246073298,6.72000040089519
2021-01-02,2.75229357798165,6.49663276145117
2021-01-01,5.24691358024691,6.36799822914691
2020-12-31,7.92682926829268,6.47558200339735
2020-12-30,6.90789473684211,6.08050501115278
2020-12-29,6.32411067193676,5.36944889596132
2020-12-28,6.36363636363636,5.5975462398572
2020-12-27,9.95475113122172,5.48210612441709
2020-12-26,1.85185185185185,4.99933345792162
2020-12-25,6,5.16550824721198
2020-12-24,5.16129032258065,4.8797939614977
2020-12-23,1.93050193050193,5.01281491181331
2020-12-22,7.92079207920792,5.51766904664403
2020-12-21,5.55555555555556,5.75599033474152
2020-12-20,6.57534246575342,5.88670928898989
2020-12-19,3.01507537688442,5.95341086832894
2020-12-18,4,6.39509584720368
2020-12-17,6.09243697478992,7.30661339539943
2020-12-16,5.46448087431694,7.80114241719923
2020-12-15,9.58904109589041,8.08660037332027
2020-12-14,6.47058823529412,7.72514072096618
2020-12-13,7.04225352112676,7.98366451264845
2020-12-12,6.10687022900763,8.3905011367889
2020-12-11,10.3806228373702,9.03665128405103
2020-12-10,9.55414012738854,9.11280596210618
2020-12-09,7.46268656716418,9.68070191029438
2020-12-08,7.05882352941176,10.4334746136589
2020-12-07,8.28025477707006,11.627216932721
2020-12-06,9.89010989010989,12.1600096676493
2020-12-05,10.6299212598425,11.9353625891
2020-12-04,10.9137055837563,12.057267207482
2020-12-03,13.5294117647059,11.6226978550337
